Student,State,IsCorrect,Time,TestCount
10,NS,1,0,0
10,NT,0,0,0
10,NT,0,1,0
10,NT,0,0,0
10,NT,0,1,0
10,NT,0,0,0
10,NT,0,1,0
10,NT,0,0,0
10,NT,0,1,0
10,NT,0,0,0
10,NT,0,1,0
10,NT,0,1,0
10,NT,0,0,0
10,NT,0,131,0
10,NT,0,243,0
10,NT,0,5,1
10,NT,0,9,1
10,NT,0,6,1
10,NT,0,95,1
10,NT,0,6,1
10,NT,0,0,1
10,NT,0,12,1
10,NT,0,20,1
10,NT,0,2,1
10,NT,0,13,1
10,NT,0,26,1
10,NT,0,64,1
10,GR,1,3,1
10,WR,1,25,2
10,RE,1,1,2
10,RE,1,30,2
10,RE,1,2,2
10,RE,1,5,2
10,RE,1,14,2
10,RE,1,2,2
10,RE,1,5,2
10,RE,1,2,2
10,GR,1,0,2
10,GR,1,0,2
10,WR,1,23,3
10,MO,1,6,4
10,WR,1,4,4
10,GR,1,6,4
10,GR,1,0,4
10,GR,1,0,4
10,GR,1,0,4
10,RF,1,12,4
10,RF,1,1,4
10,WR,1,13,5
10,RE,1,1,5
10,RE,1,27,5
10,RE,1,2,5
10,RE,1,0,5
10,RE,1,0,5
10,RE,1,0,5
10,GR,1,0,5
10,WR,1,18,6
10,RE,1,2,6
10,RE,1,49,6
10,RE,1,2,6
10,RE,1,0,6
10,RE,1,0,6
10,RE,1,0,6
10,GR,1,0,6
10,GR,1,0,6
10,GR,1,13,6
10,GR,1,3,6
10,GR,1,0,6
10,GR,1,0,6
10,GR,1,0,6
10,GR,1,0,6
10,GR,1,0,6
10,RF,1,24,6
10,RF,1,33,6
10,RF,1,1,6
10,RF,1,10,6
10,WR,1,650,7
10,WR,1,68,7
10,RE,1,4,7
10,RE,1,13,7
10,RE,1,18,7
10,RE,1,1,7
10,RE,1,21,7
10,RE,1,79,7
10,RE,1,40,7
10,RE,1,2,7
10,RE,1,5,7
10,RE,1,13,7
10,RE,1,87,7
10,RE,1,5,7
10,RE,1,0,7
10,RE,1,14,7
10,RE,1,18,7
10,RE,1,2,7
10,RE,1,2,7
10,RE,1,0,7
10,RE,1,0,7
10,RE,1,0,7
10,GR,1,0,7
10,GR,1,0,7
10,RF,1,128,7
10,RF,1,5,7
10,RF,1,3,7
10,RF,1,0,7
10,RF,1,0,7
10,RF,1,0,7
10,GR,1,0,7
10,GR,1,0,7
10,WR,1,11,8
10,GR,1,1,8
10,GR,1,0,8
10,GR,1,0,8
10,GR,1,0,8
10,GR,1,0,8
10,GR,1,0,8
10,GR,1,0,8
10,WR,1,19,9
10,GR,1,1,9
10,GR,1,0,9
10,GR,1,0,9
10,GR,1,0,9
10,GR,1,0,9
10,GR,1,0,9
10,GR,1,0,9
10,GR,1,0,9
10,WR,1,11,10
10,GR,1,1,10
10,GR,1,0,10
10,GR,1,0,10
10,GR,1,0,10
10,GR,1,0,10
10,GR,1,0,10
10,GR,1,0,10
10,GR,1,0,10
10,GR,1,0,10
10,WR,1,243,11
10,RE,1,1,11
10,RE,1,17,11
10,RE,1,27,11
10,RE,1,8,11
10,RE,1,10,11
10,RE,1,26,11
10,RE,1,14,11
10,RE,1,2,11
10,RE,1,93,11
10,RE,1,4,11
10,RE,1,0,11
10,RE,1,0,11
10,RE,1,0,11
10,RE,1,0,11
10,RE,1,0,11
10,RE,1,0,11
10,RE,1,0,11
10,GR,1,0,11
10,RE,1,0,11
10,RE,1,0,11
10,RE,1,8,11
10,RE,1,0,11
10,RE,1,10,11
10,RE,1,3,11
10,RE,1,231,11
10,RE,1,50,11
10,RE,1,29,11
10,RE,1,14,11
10,RE,1,9,11
10,RE,1,160,11
10,RE,1,30,11
10,RE,1,11,11
10,RE,1,22,11
10,RE,1,15,11
10,RE,1,79,11
10,RE,1,18,11
10,RE,1,104,11
10,RE,1,4,11
10,RE,1,12,11
10,RE,1,11,11
10,RE,1,2,11
10,RE,1,48,11
10,RE,1,28,11
10,NT,0,121,12
10,NT,0,1,12
10,NT,0,26,12
10,NT,0,5,12
10,NT,0,93,12
10,NT,0,11,12
10,NT,0,8,12
10,NT,0,7,12
10,NT,0,3,12
10,NT,0,1,12
10,NT,0,0,12
10,NT,0,1,12
10,NT,0,0,12
10,NT,0,0,12
10,NT,0,0,12
10,NT,0,0,12
10,NT,0,0,12
10,NT,0,0,12
10,GR,1,0,12
10,GR,1,0,12
10,WR,1,12,13
10,GR,1,1,13
10,GR,1,0,13
10,GR,1,0,13
10,GR,1,0,13
10,GR,1,0,13
10,GR,1,0,13
10,GR,1,0,13
10,GR,1,0,13
10,GR,1,0,13
10,GR,1,0,13
10,GR,1,0,13
10,GR,1,0,13
10,RF,1,206,13
10,RF,1,53,13
10,RF,1,40,13
10,RF,1,31,13
10,RF,1,107,13
10,RF,1,3,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,48,13
10,RF,1,0,13
10,RF,1,40,13
10,RF,1,1,13
10,RF,1,26,13
10,RF,1,1,13
10,RF,1,4,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,GR,1,0,13
10,GR,1,0,13
10,RF,1,31,13
10,RF,1,0,13
10,RF,1,71,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,11,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,2584,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,GR,1,0,13
10,GR,1,181,13
10,GR,1,0,13
10,GR,1,0,13
10,GR,1,0,13
10,GR,1,0,13
10,GR,1,0,13
10,GR,1,0,13
10,GR,1,0,13
10,GR,1,0,13
10,GR,1,0,13
10,GR,1,0,13
10,RF,1,815,13
10,RF,1,0,13
10,RF,1,388,13
10,RF,1,23,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,29,13
10,RF,1,45,13
10,RF,1,2,13
10,RF,1,24,13
10,RF,1,4,13
10,RF,1,131,13
10,RF,1,106,13
10,RF,1,27,13
10,RF,1,389,13
10,RF,1,0,13
10,RF,1,59,13
10,RF,1,72,13
10,RF,1,24,13
10,RF,1,48,13
10,RF,1,47,13
10,RF,1,237,13
10,RF,1,0,13
10,RF,1,29,13
10,RF,1,17,13
10,RF,1,158,13
10,RF,1,0,13
10,RF,1,11,13
10,RF,1,92,13
10,RF,1,48,13
10,RF,1,16,13
10,RF,1,18,13
10,RF,1,59,13
10,RF,1,55,13
10,RF,1,21,13
10,RF,1,18,13
10,RF,1,1267,13
10,RF,1,67,13
10,RF,1,46,13
10,RF,1,24,13
10,RF,1,1,13
10,RF,1,0,13
10,RF,1,9,13
10,RF,1,13,13
10,RF,1,1,13
10,RF,1,11,13
10,RF,1,24,13
10,RF,1,4,13
10,RF,1,39,13
10,RF,1,10,13
10,RF,1,254,13
10,RF,1,51,13
10,RF,1,40,13
10,RF,1,10,13
10,RF,1,66,13
10,RF,1,38,13
10,RF,1,36,13
10,RF,1,18,13
10,RF,1,45,13
10,RF,1,10,13
10,RF,1,10,13
10,RF,1,39,13
10,RF,1,71,13
10,RF,1,47,13
10,RF,1,3,13
10,RF,1,59,13
10,RF,1,37,13
10,RF,1,45,13
10,RF,1,94,13
10,RF,1,25,13
10,RF,1,11,13
10,RF,1,31,13
10,RF,1,3,13
10,RF,1,3,13
10,RF,1,201,13
10,RF,1,6654,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,RF,1,0,13
10,GR,1,0,13
10,GR,1,56933,13
10,GR,1,0,13
10,GR,1,0,13
10,GR,1,0,13
10,GR,1,0,13
10,GR,1,0,13
10,GR,1,0,13
10,GR,1,0,13
10,GR,1,0,13
10,GR,1,0,13
10,RF,1,0,13
10,RF,1,93,13
10,WR,1,82,14
